index,image_path,dice,iou
0,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_1.tif,6.211179903736763e-10,6.211179903736763e-10
1,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_10.tif,4.504504325097969e-09,4.504504325097969e-09
2,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_11.tif,0.8506209850311279,0.740070104598999
3,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_12.tif,0.7559789419174194,0.6076897978782654
4,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_13.tif,0.7601172924041748,0.6130558252334595
5,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_14.tif,0.8313530087471008,0.7113807797431946
6,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_15.tif,0.7154791355133057,0.5570007562637329
7,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_16.tif,0.8083481788635254,0.6783425807952881
8,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_17.tif,0.7227770090103149,0.5658972263336182
9,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_18.tif,0.06229860335588455,0.03215077891945839
10,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_19.tif,3.106554735676781e-10,3.106554735676781e-10
11,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_2.tif,9.009009094285148e-10,9.009009094285148e-10
12,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_20.tif,2.1987686671387507e-10,2.1987686671387507e-10
13,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_21.tif,3.6496350386272525e-10,3.6496350386272525e-10
14,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_22.tif,2.995805825634079e-10,2.995805825634079e-10
15,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_23.tif,1.0,1.0
16,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_3.tif,1.027749219062457e-09,1.027749219062457e-09
17,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_4.tif,4.366812245137908e-09,4.366812245137908e-09
18,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_5.tif,5.050504903181263e-09,5.050504903181263e-09
19,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_6.tif,4.504504325097969e-09,4.504504325097969e-09
20,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_7.tif,1.1904761620940008e-08,1.1904761620940008e-08
21,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_8.tif,4.608295078867286e-09,4.608295078867286e-09
22,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_9.tif,1.763668433518717e-09,1.763668433518717e-09
23,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_1.tif,1.0,1.0
24,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_10.tif,0.788543164730072,0.6509048342704773
25,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_11.tif,0.5875251293182373,0.4159544110298157
26,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_12.tif,1.0,1.0
27,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_13.tif,1.0,1.0
28,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_14.tif,1.0,1.0
29,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_15.tif,1.0,1.0
30,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_16.tif,1.0,1.0
31,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_17.tif,1.0,1.0
32,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_18.tif,5.8823523829687474e-08,5.8823523829687474e-08
33,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_19.tif,1.0060362543029555e-09,1.0060362543029555e-09
34,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_2.tif,1.3908205698243137e-09,1.3908205698243137e-09
35,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_20.tif,3.333333253863202e-08,3.333333253863202e-08
36,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_3.tif,1.8416206337690255e-09,1.8416206337690255e-09
37,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_4.tif,2.2222222284540294e-08,2.2222222284540294e-08
38,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_5.tif,5.7803468678230274e-09,5.7803468678230274e-09
39,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_6.tif,3.021147998438778e-09,3.021147998438778e-09
40,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_7.tif,0.7330556511878967,0.5786013007164001
41,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_8.tif,0.7990130186080933,0.6652969717979431
42,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_9.tif,0.8799999952316284,0.7857142686843872
43,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_1.tif,1.3297872802908728e-09,1.3297872802908728e-09
44,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_10.tif,0.2222222238779068,0.125
45,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_11.tif,0.4469328224658966,0.28777429461479187
46,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_12.tif,0.45839956402778625,0.29735302925109863
47,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_13.tif,0.5918609499931335,0.4203142523765564
48,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_14.tif,0.6663743853569031,0.4996712803840637
49,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_15.tif,0.7099320292472839,0.5503059029579163
