index,image_path,dice,iou
0,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_1.tif,1.0,1.0
1,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_10.tif,1.0,1.0
2,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_11.tif,0.8981343507766724,0.8151658773422241
3,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_12.tif,0.6175824403762817,0.4468385875225067
4,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_13.tif,0.44048604369163513,0.28257790207862854
5,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_14.tif,0.4891047477722168,0.32383599877357483
6,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_15.tif,0.4536203444004059,0.29352226853370667
7,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_16.tif,0.7862447500228882,0.6478723287582397
8,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_17.tif,0.31317412853240967,0.18584474921226501
9,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_18.tif,0.013333333656191826,0.013333333656191826
10,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_19.tif,1.0,1.0
11,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_2.tif,1.0,1.0
12,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_20.tif,1.0,1.0
13,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_21.tif,1.0,1.0
14,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_22.tif,1.0,1.0
15,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_23.tif,1.0,1.0
16,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_3.tif,1.0,1.0
17,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_4.tif,1.0,1.0
18,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_5.tif,1.0,1.0
19,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_6.tif,1.0,1.0
20,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_7.tif,1.0,1.0
21,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_8.tif,1.0,1.0
22,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_9.tif,1.0,1.0
23,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_1.tif,1.0,1.0
24,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_10.tif,0.9493216276168823,0.9035687446594238
25,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_11.tif,0.0029498524963855743,0.0029498524963855743
26,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_12.tif,1.0,1.0
27,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_13.tif,1.0,1.0
28,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_14.tif,1.0,1.0
29,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_15.tif,1.0,1.0
30,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_16.tif,1.0,1.0
31,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_17.tif,1.0,1.0
32,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_18.tif,1.0,1.0
33,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_19.tif,1.0,1.0
34,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_2.tif,1.0,1.0
35,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_20.tif,1.0,1.0
36,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_3.tif,1.0,1.0
37,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_4.tif,1.0,1.0
38,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_5.tif,1.0,1.0
39,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_6.tif,1.0,1.0
40,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_7.tif,0.8326159715652466,0.7133496999740601
41,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_8.tif,0.9552740454673767,0.9143987894058228
42,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_9.tif,0.9626713991165161,0.9280470013618469
43,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_1.tif,1.0,1.0
44,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_10.tif,0.6246882677078247,0.4547101557254791
45,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_11.tif,0.456593781709671,0.29613733291625977
46,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_12.tif,0.6627078652381897,0.4957386255264282
47,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_13.tif,0.8265531659126282,0.7044599652290344
48,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_14.tif,0.6835632920265198,0.519362211227417
49,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_15.tif,0.739580512046814,0.5868625640869141
50,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_16.tif,0.7535656094551086,0.604651153087616
51,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_17.tif,0.7160288691520691,0.5577310919761658
52,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_18.tif,0.8833945393562317,0.7911832928657532
53,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_19.tif,0.33112308382987976,0.19860972464084625
54,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_2.tif,1.0,1.0
55,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_20.tif,0.4011703431606293,0.2512195110321045
56,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_21.tif,1.0,1.0
57,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_22.tif,1.0,1.0
58,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_23.tif,1.0,1.0
59,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_24.tif,1.0,1.0
60,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_3.tif,1.0,1.0
61,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_4.tif,1.0,1.0
62,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_5.tif,1.0,1.0
63,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_6.tif,0.02777777798473835,0.02777777798473835
64,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_7.tif,1.0,1.0
65,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_8.tif,0.002801120514050126,0.002801120514050126
66,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_9.tif,1.0,1.0
67,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_1.tif,1.0,1.0
68,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_10.tif,1.0,1.0
69,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_11.tif,1.0,1.0
70,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_12.tif,0.0025706940796226263,0.0025706940796226263
71,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_13.tif,0.02631578966975212,0.02631578966975212
72,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_14.tif,1.0,1.0
73,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_15.tif,1.0,1.0
74,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_16.tif,1.0,1.0
75,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_17.tif,0.72651606798172,0.5708954930305481
76,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_18.tif,0.6785714030265808,0.5135972499847412
77,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_19.tif,0.8327610492706299,0.7134948372840881
78,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_2.tif,1.0,1.0
79,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_20.tif,0.7917516231536865,0.6553335189819336
80,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_21.tif,0.7560076713562012,0.6077699661254883
81,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_22.tif,0.7771931886672974,0.6356205344200134
82,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_23.tif,0.8135741949081421,0.6857686638832092
83,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_24.tif,0.8522381782531738,0.742554247379303
84,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_25.tif,0.9059842228889465,0.828151524066925
85,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_26.tif,0.4649937152862549,0.30304020643234253
86,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_27.tif,0.3620084226131439,0.2211744487285614
87,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_28.tif,0.3458298146724701,0.209266796708107
88,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_29.tif,0.5265674591064453,0.35760635137557983
89,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_3.tif,1.0,1.0
90,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_30.tif,0.1258823573589325,0.06775407493114471
91,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_31.tif,0.008064515888690948,0.008064515888690948
92,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_32.tif,1.0,1.0
93,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_33.tif,1.0,1.0
94,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_34.tif,1.0,1.0
95,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_35.tif,1.0,1.0
96,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_36.tif,1.0,1.0
97,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_4.tif,1.0,1.0
98,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_5.tif,1.0,1.0
99,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_6.tif,1.0,1.0
100,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_7.tif,1.0,1.0
101,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_8.tif,1.0,1.0
102,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_9.tif,1.0,1.0
103,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_1.tif,1.0,1.0
104,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_10.tif,1.0,1.0
105,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_11.tif,0.010101010091602802,0.010101010091602802
106,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_12.tif,0.3262578547000885,0.19530516862869263
107,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_13.tif,0.31393566727638245,0.18644067645072937
108,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_14.tif,0.040659986436367035,0.02104630134999752
109,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_15.tif,0.2948034703731537,0.17304687201976776
110,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_16.tif,0.00023364486696664244,0.00023364486696664244
111,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_17.tif,0.0001757469290168956,0.0001757469290168956
112,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_18.tif,0.0001501952501712367,0.0001501952501712367
113,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_19.tif,0.00014380212815012783,0.00014380212815012783
114,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_2.tif,1.0,1.0
115,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_20.tif,0.00014164306048769504,0.00014164306048769504
116,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_21.tif,0.028522154316306114,0.014533709734678268
117,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_22.tif,0.045942798256874084,0.02357615903019905
118,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_23.tif,0.47658899426460266,0.3128911256790161
119,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_24.tif,0.36697888374328613,0.2247902750968933
120,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_25.tif,0.16850274801254272,0.09212684631347656
121,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_26.tif,0.3997555077075958,0.24992361664772034
122,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_27.tif,0.31855955719947815,0.18964706361293793
123,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_28.tif,0.49820274114608765,0.3320574164390564
124,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_29.tif,1.0,1.0
125,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_3.tif,1.0,1.0
126,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_30.tif,1.0,1.0
127,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_31.tif,1.0,1.0
128,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_32.tif,1.0,1.0
129,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_33.tif,1.0,1.0
130,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_34.tif,1.0,1.0
131,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_35.tif,1.0,1.0
132,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_36.tif,1.0,1.0
133,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_4.tif,1.0,1.0
134,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_5.tif,1.0,1.0
135,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_6.tif,1.0,1.0
136,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_7.tif,1.0,1.0
137,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_8.tif,1.0,1.0
138,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_9.tif,1.0,1.0
139,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_1.tif,1.0,1.0
140,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_10.tif,1.0,1.0
141,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_11.tif,1.0,1.0
142,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_12.tif,0.012345679104328156,0.012345679104328156
143,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_13.tif,1.0,1.0
144,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_14.tif,1.0,1.0
145,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_15.tif,1.0,1.0
146,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_16.tif,1.0,1.0
147,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_17.tif,1.0,1.0
148,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_18.tif,0.5808053016662598,0.40947940945625305
149,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_19.tif,0.8515604734420776,0.7415525317192078
150,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_2.tif,1.0,1.0
151,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_20.tif,0.8800864815711975,0.7858898043632507
152,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_21.tif,0.8547725081443787,0.7464157938957214
153,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_22.tif,0.8325397968292236,0.7131608724594116
154,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_23.tif,0.8048564195632935,0.6734875440597534
155,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_24.tif,0.772988498210907,0.630034327507019
156,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_25.tif,0.7117812037467957,0.5526124835014343
157,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_26.tif,0.7271475791931152,0.5713667869567871
158,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_27.tif,0.5634755492210388,0.39246922731399536
159,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_28.tif,0.6138461828231812,0.4434589743614197
160,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_29.tif,1.0,1.0
161,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_3.tif,1.0,1.0
162,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_30.tif,1.0,1.0
163,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_31.tif,1.0,1.0
164,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_32.tif,1.0,1.0
165,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_33.tif,1.0,1.0
166,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_34.tif,1.0,1.0
167,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_35.tif,1.0,1.0
168,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_4.tif,1.0,1.0
169,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_5.tif,1.0,1.0
170,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_6.tif,1.0,1.0
171,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_7.tif,1.0,1.0
172,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_8.tif,1.0,1.0
173,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_9.tif,1.0,1.0
174,../data/raw/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_1.tif,1.0,1.0
175,../data/raw/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_10.tif,1.0,1.0
