index,image_path,dice,iou
0,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_1.tif,1.0,1.0
1,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_10.tif,1.0,1.0
2,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_11.tif,0.051912568509578705,0.026647966355085373
3,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_12.tif,0.24445180594921112,0.13924528658390045
4,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_13.tif,0.3539143204689026,0.2150035947561264
5,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_14.tif,0.2601964771747589,0.14955510199069977
6,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_15.tif,0.4081796407699585,0.2564231753349304
7,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_16.tif,0.6414122581481934,0.47211694717407227
8,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_17.tif,0.44487056136131287,0.28606659173965454
9,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_18.tif,1.3513513863472326e-08,1.3513513863472326e-08
10,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_19.tif,1.0,1.0
11,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_2.tif,1.0,1.0
12,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_20.tif,1.0,1.0
13,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_21.tif,1.0,1.0
14,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_22.tif,1.0,1.0
15,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_23.tif,1.0,1.0
16,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_3.tif,1.0,1.0
17,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_4.tif,1.0,1.0
18,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_5.tif,1.0,1.0
19,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_6.tif,1.0,1.0
20,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_7.tif,1.0,1.0
21,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_8.tif,1.0,1.0
22,../data/raw/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_9.tif,1.0,1.0
23,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_1.tif,1.0,1.0
24,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_10.tif,0.6461377739906311,0.4772551953792572
25,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_11.tif,2.9585798255737927e-09,2.9585798255737927e-09
26,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_12.tif,1.0,1.0
27,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_13.tif,1.0,1.0
28,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_14.tif,1.0,1.0
29,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_15.tif,1.0,1.0
30,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_16.tif,1.0,1.0
31,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_17.tif,1.0,1.0
32,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_18.tif,1.0,1.0
33,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_19.tif,1.0,1.0
34,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_2.tif,1.0,1.0
35,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_20.tif,1.0,1.0
36,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_3.tif,1.0,1.0
37,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_4.tif,1.0,1.0
38,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_5.tif,1.0,1.0
39,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_6.tif,1.0,1.0
40,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_7.tif,0.30858805775642395,0.18244406580924988
41,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_8.tif,0.6594667434692383,0.4919435977935791
42,../data/raw/kaggle_3m\TCGA_CS_6290_20000917\TCGA_CS_6290_20000917_9.tif,0.7238781452178955,0.5672484636306763
43,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_1.tif,1.0,1.0
44,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_10.tif,2.6737967395717988e-09,2.6737967395717988e-09
45,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_11.tif,1.086956524787297e-09,1.086956524787297e-09
46,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_12.tif,1.0706637798563179e-09,1.0706637798563179e-09
47,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_13.tif,0.06733608990907669,0.03484107553958893
48,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_14.tif,0.3503575026988983,0.21238389611244202
49,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_15.tif,0.48942598700523376,0.3240000009536743
50,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_16.tif,0.4402414560317993,0.2822497487068176
51,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_17.tif,0.11272141337394714,0.059726960957050323
52,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_18.tif,4.0485828578518124e-10,4.0485828578518124e-10
53,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_19.tif,2.2935779941946066e-09,2.2935779941946066e-09
54,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_2.tif,1.0,1.0
55,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_20.tif,2.2624433437812286e-09,2.2624433437812286e-09
56,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_21.tif,1.0,1.0
57,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_22.tif,1.0,1.0
58,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_23.tif,1.0,1.0
59,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_24.tif,1.0,1.0
60,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_3.tif,1.0,1.0
61,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_4.tif,1.0,1.0
62,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_5.tif,1.0,1.0
63,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_6.tif,1.0,1.0
64,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_7.tif,1.0,1.0
65,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_8.tif,1.0,1.0
66,../data/raw/kaggle_3m\TCGA_CS_6665_20010817\TCGA_CS_6665_20010817_9.tif,1.0,1.0
67,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_1.tif,1.0,1.0
68,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_10.tif,1.0,1.0
69,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_11.tif,1.0,1.0
70,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_12.tif,1.0,1.0
71,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_13.tif,1.0,1.0
72,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_14.tif,1.0,1.0
73,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_15.tif,1.0,1.0
74,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_16.tif,1.0,1.0
75,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_17.tif,2.450980307600048e-09,2.450980307600048e-09
76,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_18.tif,5.743825415294168e-10,5.743825415294168e-10
77,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_19.tif,4.0338846152288e-10,4.0338846152288e-10
78,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_2.tif,1.0,1.0
79,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_20.tif,2.682403466014449e-10,2.682403466014449e-10
80,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_21.tif,2.2883295258679937e-10,2.2883295258679937e-10
81,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_22.tif,2.219263245395453e-10,2.219263245395453e-10
82,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_23.tif,2.212878907892346e-10,2.212878907892346e-10
83,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_24.tif,2.727024717152915e-10,2.727024717152915e-10
84,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_25.tif,2.9334115692059015e-10,2.9334115692059015e-10
85,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_26.tif,3.3311126079738074e-10,3.3311126079738074e-10
86,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_27.tif,4.422821830996071e-10,4.422821830996071e-10
87,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_28.tif,5.235601951980584e-10,5.235601951980584e-10
88,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_29.tif,7.374631461054548e-10,7.374631461054548e-10
89,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_3.tif,1.0,1.0
90,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_30.tif,1.272264626983599e-09,1.272264626983599e-09
91,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_31.tif,8.130081496915409e-09,8.130081496915409e-09
92,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_32.tif,1.0,1.0
93,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_33.tif,1.0,1.0
94,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_34.tif,1.0,1.0
95,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_35.tif,1.0,1.0
96,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_36.tif,1.0,1.0
97,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_4.tif,1.0,1.0
98,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_5.tif,1.0,1.0
99,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_6.tif,1.0,1.0
100,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_7.tif,1.0,1.0
101,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_8.tif,1.0,1.0
102,../data/raw/kaggle_3m\TCGA_DU_5871_19941206\TCGA_DU_5871_19941206_9.tif,1.0,1.0
103,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_1.tif,1.0,1.0
104,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_10.tif,1.0,1.0
105,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_11.tif,1.0204082023790306e-08,1.0204082023790306e-08
106,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_12.tif,1.555209960812931e-09,1.555209960812931e-09
107,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_13.tif,8.012820407188315e-10,8.012820407188315e-10
108,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_14.tif,6.024096221857178e-10,6.024096221857178e-10
109,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_15.tif,3.92156862538684e-10,3.92156862538684e-10
110,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_16.tif,2.3663038195564923e-10,2.3663038195564923e-10
111,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_17.tif,1.757778228528295e-10,1.757778228528295e-10
112,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_18.tif,1.5482272408551268e-10,1.5482272408551268e-10
113,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_19.tif,0.004053858574479818,0.002031046198680997
114,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_2.tif,1.0,1.0
115,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_20.tif,0.009304948151111603,0.00467422092333436
116,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_21.tif,0.027696404606103897,0.014042668044567108
117,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_22.tif,0.050252556800842285,0.025773881003260612
118,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_23.tif,0.009458297863602638,0.004751619882881641
119,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_24.tif,0.0010377033613622189,0.0005191211239434779
120,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_25.tif,2.798768439227217e-10,2.798768439227217e-10
121,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_26.tif,3.218538768834378e-10,3.218538768834378e-10
122,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_27.tif,4.835589706431165e-10,4.835589706431165e-10
123,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_28.tif,1.2771391721955183e-09,1.2771391721955183e-09
124,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_29.tif,1.0,1.0
125,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_3.tif,1.0,1.0
126,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_30.tif,1.0,1.0
127,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_31.tif,1.0,1.0
128,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_32.tif,1.0,1.0
129,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_33.tif,1.0,1.0
130,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_34.tif,1.0,1.0
131,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_35.tif,1.0,1.0
132,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_36.tif,1.0,1.0
133,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_4.tif,1.0,1.0
134,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_5.tif,1.0,1.0
135,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_6.tif,1.0,1.0
136,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_7.tif,1.0,1.0
137,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_8.tif,1.0,1.0
138,../data/raw/kaggle_3m\TCGA_DU_7018_19911220\TCGA_DU_7018_19911220_9.tif,1.0,1.0
139,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_1.tif,1.0,1.0
140,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_10.tif,1.0,1.0
141,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_11.tif,1.0,1.0
142,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_12.tif,1.0,1.0
143,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_13.tif,1.0,1.0
144,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_14.tif,1.0,1.0
145,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_15.tif,1.0,1.0
146,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_16.tif,1.0,1.0
147,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_17.tif,1.0,1.0
148,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_18.tif,8.103727688890672e-10,8.103727688890672e-10
149,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_19.tif,5.482456155725401e-10,5.482456155725401e-10
150,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_2.tif,1.0,1.0
151,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_20.tif,3.802281267617502e-10,3.802281267617502e-10
152,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_21.tif,3.274394366759026e-10,3.274394366759026e-10
153,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_22.tif,3.1308702852506087e-10,3.1308702852506087e-10
154,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_23.tif,3.1426775071174973e-10,3.1426775071174973e-10
155,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_24.tif,3.4328870301969516e-10,3.4328870301969516e-10
156,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_25.tif,3.926187708280793e-10,3.926187708280793e-10
157,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_26.tif,4.703669120864618e-10,4.703669120864618e-10
158,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_27.tif,8.051529998276408e-10,8.051529998276408e-10
159,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_28.tif,2.2675736843780214e-09,2.2675736843780214e-09
160,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_29.tif,1.0,1.0
161,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_3.tif,1.0,1.0
162,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_30.tif,1.0,1.0
163,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_31.tif,1.0,1.0
164,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_32.tif,1.0,1.0
165,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_33.tif,1.0,1.0
166,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_34.tif,1.0,1.0
167,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_35.tif,1.0,1.0
168,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_4.tif,1.0,1.0
169,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_5.tif,1.0,1.0
170,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_6.tif,1.0,1.0
171,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_7.tif,1.0,1.0
172,../data/raw/kaggle_3m\TCGA_DU_7301_19911112\TCGA_DU_7301_19911112_8.tif,1.0,1.0
